,car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
0,Bugatti Veyron 8.0 litre W16 Super Sport - [2010],1184,6400,0.0,0.0,2.5,7993.0,487.7,258.0,415.0,644.1,2010,2010s,Bugatti,1.83822387827977,0.0
1,Bugatti Veyron 16.4 Grand Sport Vitesse - [2012],1184,6400,1106.0,3000.0,2.5,7993.0,487.7,255.0,410.0,594.9,2012,2010s,Bugatti,1.99025046226257,555.7089527027031
2,SSC Ultimate Aero TT - [2008],1183,6950,1094.0,6150.0,2.8,6348.0,387.3,273.0,439.0,946.4,2008,2000s,SSC,1.25,875.2
3,Koenigsegg Agera R 5.0 V8 - [2012],1124,7100,885.0,4100.0,2.9,5032.0,307.0,273.0,439.0,794.3,2012,2010s,Koenigsegg,1.41508246254564,625.40524911032
4,Porsche 9FF GT9R - [2009],1120,7850,774.0,5970.0,2.9,4000.0,244.0,256.0,411.0,832.0,2009,2000s,Porsche,1.34615384615385,574.971428571429
5,Koenigsegg Agera 5L V8 - [2011],1100,2700,885.0,4100.0,2.9,5032.0,307.0,261.0,420.0,766.5,2011,2010s,Koenigsegg,1.4350945857795199,616.6840909090911
6,Hennessey Venom GT - [2010],1030,6500,972.0,4200.0,2.5,6162.0,376.0,260.0,418.0,844.2,2010,2010s,Hennessey,1.22009002606018,796.662524271845
7,Koenigsegg Agera S 5.0 V8 Hundra - [2013],1016,7100,811.0,4100.0,2.8,5032.0,307.0,249.0,400.0,718.0,2013,2010s,Koenigsegg,1.4150417827298,573.127952755906
8,Koenigsegg CCX R Special Edition 4.8 V8 S - [2008],1004,7000,796.0,5600.0,2.9,4800.0,292.9,254.0,408.0,784.3,2008,2000s,Koenigsegg,1.28012240214204,621.815537848605
9,Bugatti Veyron 8.0 litre W16 - [2005],1001,6000,922.0,2200.0,2.7,7993.0,487.7,252.0,405.0,530.1,2005,2000s,Bugatti,1.8883229579324698,488.263936063936
10,Porsche 9FF GT9 - [2008],987,7850,711.0,5970.0,3.0,4000.0,244.0,255.0,410.0,680.6,2008,2000s,Porsche,1.45019100793418,490.280243161094
11,SSC Aero SC 8T 6.3L - [2005],908,6600,771.0,5800.0,2.9,6257.0,381.8,249.0,400.0,735.8,2005,2000s,SSC,1.2340309866811598,624.7817180616739
12,Koenigsegg Agera 4.7L V8 - [2010],898,6850,811.0,5100.0,3.1,4700.0,286.8,242.0,389.0,696.1,2010,2010s,Koenigsegg,1.29004453383135,628.660467706013
13,TVR Cerbera Speed 12 - [2000],880,7250,650.0,5750.0,2.8,7731.0,471.7,240.0,386.0,822.4,2000,2000s,TVR,1.07003891050584,607.4545454545449
14,Koenigsegg CCR 4.7 V8 Supercharged - [2005],806,6900,678.0,5700.0,3.8,4700.0,286.8,242.0,389.0,655.2,2005,2000s,Koenigsegg,1.23015873015873,551.148387096774
15,Koenigsegg CCX 4.7 V8 Supercharged - [2006],806,6900,678.0,5700.0,3.2,4700.0,286.8,241.0,387.0,683.0,2006,2000s,Koenigsegg,1.1800878477306,574.533498759305
16,TVR Speed 12 7.7L V12 - [1997],800,8250,650.0,5750.0,2.9,7730.0,471.7,210.0,337.0,800.0,1997,1990s,TVR,1.0,650.0
17,Ferrari LaFerrari 6.3L V12 - [2013],789,9000,516.0,6750.0,3.0,6262.0,382.1,227.0,365.0,628.6,2013,2010s,Ferrari,1.25517021953548,411.09961977186305
18,Gumpert Apollo Enraged 4.2 V8 Turbo - [2012],769,6000,679.0,4000.0,2.9,4163.0,254.0,205.0,329.0,654.4,2012,2010s,Gumpert,1.17512224938875,577.8122236670999
19,Aston-Martin One77 7.3L V12 - [2011],750,7800,553.0,5500.0,3.6,7312.0,446.2,220.0,354.0,460.1,2011,2010s,Aston-Martin,1.63008041730059,339.24706666666697
20,Ferrari F50 GT1 4.7l V12 - [1996],750,10500,384.0,7000.0,2.9,4698.0,286.6,234.0,376.0,826.9,1996,1990s,Ferrari,0.9070020558713271,423.3728
21,Mercedes SLS Electric Drive AMG - [2013],740,1,738.0,1.0,3.9,0.0,0.0,155.0,249.0,350.7,2013,2010s,Mercedes,2.11006558311948,349.752162162162
22,Gumpert Apollo S 4.2 V8 Twin Turbo - [2009],740,6000,664.0,4000.0,3.0,4163.0,254.0,224.0,360.0,616.6,2009,2000s,Gumpert,1.20012974375608,553.273513513514
23,Lamborghini Veneno 6.5 V12 - [2013],740,8400,509.0,5500.0,2.8,6498.0,396.5,221.0,355.0,510.3,2013,2010s,Lamborghini,1.4501273760533,351.003648648649
24,Lamborghini Veneno Roadster 6.5 V12 - [2013],740,8400,509.0,5500.0,2.9,6498.0,396.5,221.0,355.0,496.6,2013,2010s,Lamborghini,1.49013290374547,341.58027027027
25,Ferrari F12 Berlinetta 6.3L V12 - [2012],730,8500,509.0,6000.0,3.0,6262.0,382.1,211.0,339.0,478.6,2012,2010s,Ferrari,1.5252820727120802,333.708767123288
26,McLaren P1 3.8 V8 Hybrid - [2013],727,7500,531.0,4000.0,2.9,3799.0,231.8,217.0,349.0,521.1,2013,2010s,McLaren,1.39512569564383,380.610866574966
27,Ultima GTR 720 - [2000],720,0,500.0,0.0,2.6,5666.0,345.7,231.0,371.0,742.2,2000,2000s,Ultima,0.9700889248181079,515.416666666667
28,Ford GT 90 6.0L V12 - [1995],720,6600,660.0,4750.0,3.1,5927.0,361.6,235.0,378.0,496.2,1995,1990s,Ford,1.45102781136638,454.85
29,Lamborghini Aventador LP720-4 50th Anniversario - [2013],710,8250,509.0,5500.0,3.0,6498.0,396.5,217.0,349.0,450.7,2013,2010s,Lamborghini,1.5753272686931399,323.107464788732
30,Pagani Huayra 6.0L Twin turbo - [2013],700,6300,740.0,2500.0,3.5,5980.0,364.9,230.0,370.0,518.5,2013,2010s,Pagani,1.35004821600771,548.128571428571
31,Lamborghini Aventador LP700-4 - [2011],690,8250,509.0,5500.0,2.9,6498.0,396.5,217.0,349.0,438.0,2011,2010s,Lamborghini,1.57534246575342,323.104347826087
32,Lamborghini Aventador LP700-4 Roadster - [2013],690,8250,509.0,5500.0,3.0,6498.0,396.5,217.0,349.0,424.6,2013,2010s,Lamborghini,1.6250588789448899,313.219420289855
33,Pagani Zonda Cinque 7.3L - [2008],678,6400,575.0,4000.0,3.3,7291.0,444.9,217.0,349.0,560.3,2008,2000s,Pagani,1.21006603605211,475.180678466077
34,Ferrari SA Aperta Pininfarina 6.0 V12 - [2011],670,8250,457.0,6500.0,3.2,5999.0,366.0,208.0,334.0,392.9,2011,2010s,Ferrari,1.7052685161618701,267.992985074627
35,Ford Mustang Shelby GT500 - [2012],662,6500,631.0,4000.0,3.7,5812.0,354.6,202.0,325.0,378.9,2012,2010s,Ford,1.7471628397994199,361.156948640483
36,Lamborghini Reventon Roadster 6.5L V12 - [2009],661,8000,487.0,6000.0,3.3,6496.0,396.4,190.0,305.0,391.1,2009,2000s,Lamborghini,1.6901048325236498,288.147806354009
37,Mercedes SL Class 65 AMG V12 Black Series R230 - [2008],661,5400,738.0,2200.0,3.7,5980.0,364.9,199.0,320.0,353.4,2008,2000s,Mercedes,1.8704018109790599,394.567624810893
38,Ferrari 599 GTO - [2010],661,8250,457.0,6500.0,3.3,5999.0,366.0,208.0,334.0,411.8,2010,2010s,Ferrari,1.6051481301602701,284.708925869894
39,Ferrari Enzo 6.0 V12 - [2002],650,7800,485.0,5500.0,3.5,5998.0,366.0,217.0,349.0,476.1,2002,2000s,Ferrari,1.3652593992858602,355.243846153846
40,Ferrari FF 6.3L V12 - [2011],650,8000,504.0,6000.0,3.5,6262.0,382.1,211.0,339.0,363.1,2011,2010s,Ferrari,1.79014045717433,281.542153846154
41,Noble M600 4.4L V8 - [2009],650,6800,604.0,3800.0,3.5,4439.0,270.8,225.0,362.0,520.0,2009,2000s,Noble,1.25,483.2
42,Lamborghini Reventon 6.5 V12 - [2007],641,8000,487.0,6000.0,3.4,6496.0,396.4,211.0,339.0,384.9,2007,2000s,Lamborghini,1.66536762795531,292.42792511700503
43,Mercedes SLR Class McLaren Stirling Moss - [2009],641,6500,605.0,4000.0,3.4,5439.0,331.9,217.0,349.0,394.2,2009,2000s,Mercedes,1.6260781329274498,372.06084243369696
44,Mercedes SLR Class McLaren 722 Edition - [2006],641,6500,605.0,4000.0,3.6,5439.0,331.9,209.0,336.0,371.8,2006,2000s,Mercedes,1.7240451855836498,350.91887675507
45,Gumpert Apollo 4.2L V8 Twin Turbo - [2005],641,6500,627.0,4000.0,3.0,4163.0,254.0,223.0,358.0,436.6,2005,2000s,Gumpert,1.46816307833257,427.06427457098295
46,Mercedes SLR Class McLaren 722 S Roadster - [2008],641,6500,605.0,4000.0,3.6,5439.0,331.9,208.0,334.0,366.2,2008,2000s,Mercedes,1.75040961223375,345.633385335413
47,McLaren 650S 3.8 V8 Twin Turbo - [2014],641,7250,500.0,6000.0,3.0,3799.0,231.8,207.0,333.0,481.9,2014,2010s,McLaren,1.3301514837103101,375.897035881435
48,McLaren 650S Spider 3.8 V8 Twin Turbo - [2014],641,7250,500.0,6000.0,3.1,3799.0,231.8,207.0,333.0,457.8,2014,2010s,McLaren,1.4001747487986,357.09828393135695
49,Chevrolet Corvette C6 ZR1 - [2007],638,6500,604.0,3800.0,3.4,6162.0,376.0,205.0,329.0,423.0,2007,2000s,Chevrolet,1.50827423167849,400.457680250784
50,Chevrolet Corvette C6 ZR1 6.2 V8 - [2009],638,6500,606.0,3800.0,3.8,6162.0,376.0,205.0,329.0,416.9,2009,2000s,Chevrolet,1.5303430079155702,395.989655172414
51,Lamborghini Murcielago LP640 6.5 V12 - [2006],631,8000,487.0,6000.0,3.5,6496.0,396.4,211.0,339.0,378.9,2006,2000s,Lamborghini,1.6653470572710498,292.431537242472
52,Dodge Viper SRT 8.3 V10 - [2013],631,6200,600.0,5000.0,3.4,0.0,0.0,206.0,331.0,414.8,2013,2010s,Dodge,1.52121504339441,394.421553090333
53,McLaren F1 6.0 V12 - [1994],627,7400,480.0,5600.0,3.2,6064.0,370.0,240.0,386.0,550.0,1994,1990s,McLaren,1.14,421.052631578947
54,Bentley Continental GT Speed 6.0 W12 - [2014],626,6000,605.0,1700.0,4.0,5998.0,366.0,206.0,331.0,269.8,2014,2010s,Bentley,2.32023721275019,260.749201277955
55,Ascari A10 5.0 V8 - [2006],625,7500,413.0,5500.0,2.8,4940.0,301.4,215.0,346.0,488.2,2006,2000s,Ascari,1.28021302744777,322.60256
56,Rolls-Royce Wraith 6.6L V12 - [2013],623,5600,590.0,1500.0,4.4,6592.0,402.2,155.0,249.0,263.9,2013,2010s,Rolls-Royce,2.36074270557029,249.921348314607
57,Mercedes SLS AMG Black Series 6.2 V8 - [2012],622,7400,468.0,5500.0,3.6,6208.0,378.8,196.0,315.0,401.2,2012,2010s,Mercedes,1.55034895314058,301.867524115756
58,Maserati MC12 6.0 V12 - [2004],621,7500,481.0,5500.0,3.8,5998.0,366.0,205.0,329.0,429.7,2004,2000s,Maserati,1.44519432161973,332.827214170692
59,Bentley Continental SuperSports Flying Star - [2010],621,6000,590.0,1700.0,3.8,5998.0,366.0,204.0,328.0,270.5,2010,2010s,Bentley,2.29574861367837,256.996779388084
60,Bentley Continental SuperSports 6.0 W12 - [2009],621,6000,590.0,1700.0,3.8,5998.0,366.0,204.0,328.0,277.2,2009,2000s,Bentley,2.24025974025974,263.36231884058
61,Mercedes SL Class 65 AMG V12 - [2012],621,4800,738.0,2300.0,3.9,5980.0,364.9,155.0,249.0,318.4,2012,2010s,Mercedes,1.95037688442211,378.388405797101
62,Mercedes S Class 65 AMG - [2013],621,4800,738.0,2300.0,4.2,5980.0,364.9,155.0,249.0,269.4,2013,2010s,Mercedes,2.30512249443207,320.15652173912997
63,Mercedes S Class 65 AMG - [2010],621,4800,738.0,2300.0,4.3,5980.0,364.9,155.0,249.0,272.9,2010,2010s,Mercedes,2.2755588127519197,324.315942028985
64,Mercedes SLR Class McLaren - [2003],617,6500,575.0,5000.0,3.8,5439.0,331.9,208.0,334.0,381.3,2003,2000s,Mercedes,1.6181484395489099,355.34440842787694
65,Mercedes SLR Class McLaren Roadster - [2009],617,6500,575.0,5000.0,3.8,5439.0,331.9,206.0,331.0,338.0,2009,2000s,Mercedes,1.82544378698225,314.991896272285
66,Chevrolet Corvette Callaway C16 - [2007],616,6200,582.0,4750.0,3.8,5967.0,364.1,206.0,331.0,396.9,2007,2000s,Chevrolet,1.55202821869489,374.993181818182
67,Bentley Continental GT Speed - [2012],616,6000,590.0,2000.0,4.0,5998.0,366.0,205.0,329.0,265.5,2012,2010s,Bentley,2.3201506591337098,254.293831168831
68,McLaren MP4-12C 3.8 V8 Twin Turbo Spider - [2012],616,7500,443.0,3000.0,3.0,3799.0,231.8,204.0,328.0,417.9,2012,2010s,McLaren,1.47403685092127,300.535227272727
69,McLaren MP4-12C 3.8L V8 Twin Turbo - [2012],616,7500,443.0,3000.0,3.0,3799.0,231.8,207.0,333.0,429.5,2012,2010s,McLaren,1.43422584400466,308.877435064935
70,Bentley Continental GT Speed Convertible 6.0 W12 - [2013],616,6000,590.0,2000.0,4.1,5998.0,366.0,202.0,325.0,246.8,2013,2010s,Bentley,2.49594813614263,236.383116883117
71,Mercedes CL Class 65 AMG Bi Turbo - [2003],612,6500,738.0,5950.0,4.3,5980.0,364.9,155.0,249.0,283.9,2003,2000s,Mercedes,2.1556886227544902,342.35
72,Mercedes CLK GTR 6.9 V12 - [1998],612,6800,568.0,5250.0,3.7,6898.0,420.9,200.0,321.0,396.3,1998,1990s,Mercedes,1.5442846328539,367.807843137255
73,Ferrari 599 GTB Fiorano - [2006],611,7600,448.0,5600.0,3.5,5999.0,366.0,205.0,329.0,361.9,2006,2000s,Ferrari,1.6883116883116898,265.353846153846
